"";"";"";"";F;2012/06/29;""
"238M";"08";"Osteomyelitis w mcc";"Osteomyelitis w mcc";F;2010/03/04;"238M"
"238N";"08";"Osteomyelitis";"Osteomyelitis";F;2010/03/04;"238N"
"238X";"08";"Osteomyelitis";"Osteomyelitis";T;1996/12/31;"238"
"239A";"08";"Pathological fractures & musculosceletal & conn tiss malign, radiotherapy";"Pathological fractures & musculosceletal & conn tiss malign,";F;2006/01/15;"239A"
"239B";"08";"Musculosceletal & conn tiss malign, cytostatic therapy";"Musculosceletal & conn tiss malign, cytostatic therapy";F;2006/01/15;"239B"
"239C";"08";"Musculosceletal & conn tiss malign, demanding cytostatic therapy";"Musculosceletal & conn tiss malign, dem cytost ther";F;2006/01/15;"239C"
"239D";"08";"Musculosceletal & conn tiss malign, special demanding cytostatic therapy";"Musculosceletal & conn tiss malign, spec dem cytost ther";F;2006/01/15;"239D"
"239E";"08";"Pathological fractures & musculosceletal & conn tiss malign";"Pathological fractures & musculosceletal & conn tiss malign";F;2006/01/15;"239E"
"239M";"08";"Pathological fractures & musculosceletal & conn tiss malign w mcc";"Path fractures & musculosceletal & conn tiss malign w mcc";F;2010/03/04;"239M"
"239N";"08";"Pathological fractures & musculosceletal & conn tiss malign";"Pathological fractures & musculosceletal & conn tiss malign";F;2010/03/04;"239N"
"239X";"08";"Pathological fractures & musculosceletal & conn tiss malign";"Pathological fractures & musculosceletal & conn tiss malign";T;1996/12/31;"239"
"240N";"08";"Connective tissue disorders or vasculitis w cc";"Connective tissue disorders or vasculitis w cc";T;2006/04/27;"240N"
"241A";"08";"Connective tissue disorders w/o cc, age 0-17 yrs";"Connective tissue disorders w/o cc, age 0-17 yrs";F;2003/10/10;"241A"
"241B";"08";"Connective tissue disorders w/o cc, age >17 yrs";"Connective tissue disorders w/o cc, age >17 yrs";F;2003/10/10;"241B"
"241N";"08";"Connective tissue disorders or vasculitis w/o cc";"Connective tissue disorders or vasculitis w/o cc";T;2006/04/27;"241N"
"242A";"08";"Infectious arthritis or bursitis";"Infectious arthritis or bursitis";T;2006/04/27;"242A"
"242B";"08";"Specific inflammatory arthropathy w cc";"Specific inflammatory arthropathy w cc";T;2006/04/27;"242B"
"242C";"08";"Specific inflammatory arthropathy w/o cc";"Specific inflammatory arthropathy w/o cc";T;2006/04/27;"242C"
"242D";"08";"Other arthritis";"Other arthritis";T;2006/04/27;"242D"
"242E";"08";"Arthrosis w cc";"Arthrosis w cc";T;2006/04/27;"242E"
"242F";"08";"Arthrosis w/o cc";"Arthrosis w/o cc";T;2006/04/27;"242F"
"242O";"08";"Specific inflammatory arthropathy, short therapy";"Specific inflammatory arthropathy, short therapy";F;2009/06/03;"242O"
"242P";"08";"Connective tissue disorders or vasculitis, short therapy";"Connective tissue disorders or vasculitis, short therapy";F;2009/06/03;"242P"
"242Q";"08";"Arthrosis, short therapy";"Arthrosis, short therapy";F;2009/06/03;"242Q"
"243A";"08";"Medical back problems, age 0-17 yrs";"Medical back problems, age 0-17 yrs";F;2003/10/10;"243A"
"243B";"08";"Medical back problems, age >17 yrs";"Medical back problems, age >17 yrs";F;2003/10/10;"243B"
"243C";"08";"Medical back problems w cc";"Medical back problems w cc";F;2010/03/05;"243C"
"243M";"08";"Medical back problems w mcc";"Medical back problems w mcc";F;2010/03/05;"243M"
"243N";"08";"Medical back problems";"Medical back problems";F;2010/03/05;"243N"
"243NO";"08";"Medical back problems, short therapy";"Medical back problems, short therapy";F;2009/11/13;"243O"
"243X";"08";"Medical back problems";"Medical back problems";T;2006/04/27;"243"
"244X";"08";"Bone diseases & specific arthropathies w cc";"Bone diseases & specific arthropathies w cc";T;1996/12/31;"244"
"245A";"08";"Bone diseases & specific atrhropathies w/o cc, age 0-17 yrs";"Bone diseases & specific atrhropathies w/o cc, age 0-17 yrs";F;2003/10/10;"245A"
"245B";"08";"Bone diseases & specific atrhropathies w/o cc, age >17 yrs";"Bone diseases & specific atrhropathies w/o cc, age >17 yrs";F;2003/10/10;"245B"
"245X";"08";"Bone diseases & specific arthropathies w/o cc";"Bone diseases & specific arthropathies w/o cc";T;2006/04/27;"245"
"246X";"08";"Non-specific arthropathies";"Non-specific arthropathies";F;1996/12/31;"246"
"247C";"08";"Signs & symtoms of musculosceleteal system & conn tissue w cc";"Signs & symtoms of musculosceleteal system & conn tissue w c";F;2010/05/12;"247C"
"247N";"08";"Signs & symtoms of musculosceleteal system & conn tissue";"Signs & symtoms of musculosceleteal system & conn tissue";F;2010/03/05;"247N"
"247X";"08";"Signs & symtoms of musculosceleteal system & conn tissue";"Signs & symtoms of musculosceleteal system & conn tissue";T;1996/12/31;"247"
"248A";"08";"Tendonitis, myositis & bursitits, age 0-17 yrs";"Tendonitis, myositis & bursitits, age 0-17 yrs";F;2003/10/10;"248A"
"248B";"08";"Tendonitis, myositis & bursitits, age >17 yrs";"Tendonitis, myositis & bursitits, age >17 yrs";F;2003/10/10;"248B"
"248C";"08";"Tendonitis, myositis & bursitits w cc";"Tendonitis, myositis & bursitits w cc";F;2010/03/05;"248C"
"248N";"08";"Tendonitis, myositis & bursitits";"Tendonitis, myositis & bursitits";F;2010/03/05;"248N"
"248O";"08";"Tendonitis, myositis & bursitits, short therapy";"Tendonitis, myositis & bursitits, short therapy";F;2009/06/03;"248O"
"248X";"08";"Tendonitis, myositis & bursitits";"Tendonitis, myositis & bursitits";T;1996/12/31;"248"
"249C";"08";"Aftercare, musculoskeletal system & connective tissue w cc";"Aftercare, musculoskeletal system & connective tissue w cc";F;2010/03/05;"249C"
"249N";"08";"Aftercare, musculoskeletal system & connective tissue";"Aftercare, musculoskeletal system & connective tissue";F;2010/03/05;"249N"
"249X";"08";"Aftercare, musculoskeletal system & connective tissue";"Aftercare, musculoskeletal system & connective tissue";T;1996/12/31;"249"
"250C";"08";"Fracture, sprain, strain or dislocation of forearm, hand or foot w cc";"Fx/sprn/strn/disl of forearm/hand/foot w cc";F;2010/03/05;"250C"
"250X";"08";"Fracture, sprain, strain or dislocation of forearm, hand or foot, age >17, w cc";"Fx/sprn/strn/disl of forearm/hand/foot,age >17,w cc";T;2003/06/25;"250"
"251N";"08";"Fracture, sprain, strain or dislocation of forearm, hand or foot w/o cc";"Fx/sprn/strn/disl of forearm/hand/foot w/o cc";F;2010/03/05;"251N"
"251X";"08";"Fracture, sprain, strain or dislocation of forearm, hand or foot, age >17 w/o cc";"Fx/sprn/strn/disl of forearm/hand/foot,age >17,w/o cc";T;2003/06/25;"251"
"252A";"08";"Fx, sprn, strn & disl of forearm, hand, foot age 0-17, w CC";"Fx, sprn, strn & disl of forearm, hand, foot age 0-17, w CC";F;1998/11/23;"252A"
"252B";"08";"Fx, sprn, strn & disl of forearm, hand, foot age 0-17, w/o CC";"Fx, sprn, strn & disl of forearm, hand, foot age 0-17, w/o C";F;1998/11/23;"252B"
"252X";"08";"Fracture, sprain, strain or dislocation of forearm, hand or foot, age 0-17";"Fx/sprn/strn/disl of forearm/hand/foot,age 0-17";T;2003/06/25;"252"
"253X";"08";"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17, w cc";"Fx/sprn/strn/disl of uparm/lowleg ex foot,age > 17,w cc";T;2003/06/25;"253"
"254X";"08";"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age > 17,w/o cc";"Fx/sprn/strn/disl of uparm/lowleg ex foot,age > 17,w/o cc";T;2003/06/25;"254"
"255A";"08";"Fx, sprn, strn & disl of uparm, lowleg ex foot age 0-17, w cc";"Fx, sprn, strn & disl of uparm, lowleg ex foot age 0-17, w c";F;1998/11/23;"255A"
"255B";"08";"Fx, sprn, strn & disl of uparm, lowleg ex foot age 0-17, w/o cc";"Fx, sprn, strn & disl of uparm, lowleg ex foot age 0-17, w/o";F;1998/11/23;"255B"
"255C";"08";"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17, w cc";"Fx/sprn/strn/disl of uparm/lowleg ex foot,age 0-17, w cc";F;2010/03/05;"255C"
"255N";"08";"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17";"Fx/sprn/strn/disl of uparm/lowleg ex foot,age 0-17";F;2010/03/05;"255N"
"255X";"08";"Fracture, sprain, strain or dislocation of  upper arm or lower leg excluding foot, age 0-17";"Fx/sprn/strn/disl of uparm/lowleg ex foot,age 0-17";T;2003/06/25;"255"
"256C";"08";"Other musculosceletal system & connective tissue diagnosis w cc";"Other musculosceletal system & connective tissue diagnosis w";F;2010/03/05;"256C"
"256N";"08";"Other musculosceletal system & connective tissue diagnosis";"Other musculosceletal system & connective tissue diagnosis";F;2010/03/05;"256N"
"256O";"08";"Other musculosceletal system & connective tissue diagnosis , short therapy";"Other musculosceletal system & connective tissue dg, sh th";F;2009/06/03;"256O"
"256X";"08";"Other musculosceletal system & connective tissue diagnosis";"Other musculosceletal system & connective tissue diagnosis";T;2003/06/25;"256"
"257A";"09";"Mastectomy and reconstruction of breast for malignancy";"Mastectomy and reconstruction of breast for malignancy";F;2000/11/21;"257A"
"257B";"09";"Reconstruction of breast for malignancy, with CC";"Reconstruction of breast for malignancy, with CC";F;2000/11/21;"257B"
"257C";"09";"Mastectomy and reconstruction of breast for malignancy, with CC";"Mastectomy and reconstruction of breast for malignancy, with";F;2000/11/21;"257C"
"257X";"30";"Total mastectomy for malignancy w cc";"Total mastectomy for malignancy w cc";T;1996/12/31;"257"
"258B";"09";"Reconstruction of breast for malignancy, without CC";"Reconstruction of breast for malignancy, without CC";F;2000/11/21;"258B"
"258C";"09";"Mastectomy and reconstruction of breast for malignancy, without CC";"Mastectomy and reconstruction of breast for malignancy, with";F;2000/11/21;"258C"
"258O";"30";"Total mastectomy for malignancy, short therapy";"Total mastectomy for malignancy, short therapy";T;2003/05/25;"258O"
"258X";"30";"Total mastectomy for malignancy w/o cc";"Total mastectomy for malignancy w/o cc";T;1996/12/31;"258"
"259A";"09";"Subtotal mastectomy for malignancy w cc";"Subtotal mastectomy for malignancy w cc";F;2003/09/11;"259A"
"259B";"09";"Subtotal mastectomy and reconstruction of breast for malignancy";"Subtotal mastectomy and reconstruction for malignancy";F;2003/09/11;"259B"
"259X";"30";"Subtotal mastectomy for malignancy w cc";"Subtotal mastectomy for malignancy w cc";T;2003/05/19;"259"
"260O";"30";"Subtotal mastectomy for malignancy, short therapy";"Subtotal mastectomy for malignancy, short therapy";T;2003/05/26;"260O"
"260X";"09";"Subtotal mastectomy for malignancy w/o cc";"Subtotal mastectomy for malignancy w/o cc";T;1996/12/31;"260"
"261B";"09";"Breast proc for non-malignancy except biopsy & local excisi";"Breast proc for non-malignancy except biopsy & local excisi";F;2000/11/21;"261B"
"261O";"09";"Breast proc for non-malignancy except biopsy & local excision, short therapy";"Breast proc for non-malignancy except biopsy & local excisio";T;2003/05/25;"261O"
"261X";"09";"Breast proc for non-malignancy except biopsy & local excision";"Breast proc for non-malignancy except biopsy & local excisio";T;2001/08/12;"261"
"262O";"30";"Breast biopsy & local excision for non-malignancy, short therapy";"Breast biopsy & local excision for non-malignancy, short the";T;2003/05/25;"262O"
"262X";"09";"Breast biopsy & local excision for non-malignancy";"Breast biopsy & local excision for non-malignancy";T;1996/12/31;"262"
"263X";"09";"Skin graft &/or debrid for skin ulcer or cellulitis w cc";"Skin graft &/or debrid for skin ulcer or cellulitis w cc";T;1998/11/22;"263"
"264X";"09";"Skin graft &/or debrid for skin ulcer or cellulitis w/o cc";"Skin graft &/or debrid for skin ulcer or cellulitis w/o cc";T;1998/11/22;"264"
"265X";"09";"Skin graft &/or debrid except for skin ulcer or cellulitis w cc";"Skin graft &/or debrid exc for skin ulcer or cellulitis w cc";T;2003/05/26;"265"
"266A";"09";"Reconstruction of areola and mamilla";"Reconstruction of areola and mamilla";F;2000/11/23;"266A"
"266B";"09";"Skin graft &/or debrid except for skin ulcer or cellulitis w/o cc";"Skin graft &/or debrid except for skin ulcer or cellulitis w";F;2000/11/23;"266B"
"266O";"09";"Skin graft &/or debrid for skin ulcer or cellulitis, short therapy";"Skin graft &/or debrid for skin ulcer or cellulitis, short t";T;2003/05/25;"266O"
"266X";"09";"Skin graft &/or debrid except for skin ulcer or cellulitis w/o cc";"Skin graft &/or debrid exc for skin ulcer or cell w/o cc";T;2003/05/26;"266"
"267O";"09";"Perianal & pilonidal procedures, short procedures";"Perianal & pilonidal procedures, short procedures";T;2003/05/25;"267O"
"267X";"09";"Perianal & pilonidal procedures";"Perianal & pilonidal procedures";T;1996/12/31;"267"
"268A";"09";"Skin & subcutaeous tissue plastic procedures, age 0-17 yrs";"Skin & subcutaeous tissue plastic procedures, age 0-17 yrs";F;2003/10/10;"268A"
"268B";"09";"Skin & subcutaeous tissue plastic procedures, age >17 yrs";"Skin & subcutaeous tissue plastic procedures, age >17 yrs";F;2003/10/10;"268B"
"268C";"09";"Skin & subcutaneus tissue plastic procedures w cc";"Skin & subcutaneus tissue plastic procedures w cc";F;2010/03/05;"268C"
"268N";"09";"Skin & subcutaneus tissue plastic procedures";"Skin & subcutaneus tissue plastic procedures";F;2010/03/05;"268N"
"268O";"09";"Skin & subcutaneus tissue plastic procedures, short therapy";"Skin & subcutaneus tissue plastic procedures, short therapy";T;2003/10/10;"268O"
"268X";"09";"Skin & subcutaneus tissue plastic procedures";"Skin & subcutaneus tissue plastic procedures";T;2003/06/05;"268"
"269C";"09";"Other skin & subcut tiss proc w cc";"Other skin & subcut tiss proc w cc";F;2010/03/05;"269C"
"269M";"09";"Other skin & subcut tiss proc w mcc";"Other skin & subcut tiss proc w mcc";F;2010/03/05;"269M"
"269X";"09";"Other skin & subcut tiss proc w cc";"Other skin & subcut tiss proc w cc";T;2003/06/05;"269"
"270A";"09";"Other skin & subcut tiss proc w/o cc, age 0-17 yrs";"Other skin & subcut tiss proc w/o cc, age 0-17 yrs";F;2003/10/10;"270A"
"270B";"09";"Other skin & subcut tiss proc w/o cc, age >17 yrs";"Other skin & subcut tiss proc w/o cc, age >17 yrs";F;2003/10/10;"270B"
"270O";"09";"Other skin & subcutaneous tissue procedures, short therapy";"Other skin & subcutaneous tissue procedures, short therapy";T;2003/06/05;"270O"
"270X";"09";"Other skin & subcut tiss proc w/o cc";"Other skin & subcut tiss proc w/o cc";T;2003/06/05;"270"
"271C";"09";"Skin ulcers w cc";"Skin ulcers w cc";F;2010/03/05;"271C"
"271N";"09";"Skin ulcers";"Skin ulcers";F;2010/03/05;"271N"
"271O";"09";"Skin ulcers, short therapy";"Skin ulcers, short therapy";F;2009/06/03;"271O"
"271X";"09";"Skin ulcers";"Skin ulcers";T;1996/12/31;"271"
"272C";"09";"Major skin disorders w cc";"Major skin disorders w cc";F;2010/03/05;"272C"
"272M";"09";"Major skin disorders w mcc";"Major skin disorders w mcc";F;2010/03/05;"272M"
"272X";"09";"Major skin disorders w cc";"Major skin disorders w cc";T;1996/12/31;"272"
"273X";"09";"Major skin disorders w/o cc";"Major skin disorders w/o cc";T;1996/12/31;"273"
"274X";"09";"Malignant breast disorders w cc";"Malignant breast disorders w cc";T;1996/12/31;"274"
"275FA";"09";"Malignant breast disorders w/o cc, radiotherapy";"Malignant breast disorders w/o cc, radiotherapy";F;2006/01/15;"275A"
"275FB";"09";"Malignant breast disorders w/o cc, cytostatic therapy";"Malignant breast disorders w/o cc, cytostatic therapy";F;2006/01/15;"275B"
"275FC";"09";"Malignant breast disorders w/o cc, demanding cytostatic therapy";"Malignant breast disorders w/o cc, demanding cytostatic ther";F;2006/01/15;"275C"
"275FD";"09";"Malignant breast disorders w/o cc, special demanding cytostatic therapy";"Malignant breast disorders w/o cc, spec dem cytost ther";F;2006/01/15;"275D"
"275FE";"09";"Malignant breast disorders w/o cc";"Malignant breast disorders w/o cc";F;2006/01/15;"275E"
"275O";"09";"Malignant breast disorders, short therapy";"Malignant breast disorders, short therapy";F;2009/06/03;"275O"
"275X";"09";"Malignant breast disorders w/o cc";"Malignant breast disorders w/o cc";T;1996/12/31;"275"
"276X";"09";"Non-malignant breast disorders";"Non-malignant breast disorders";T;1996/12/31;"276"
"277C";"09";"Cellulitis w cc";"Cellulitis w cc";F;2010/03/05;"277C"
"277M";"09";"Cellulitis w mcc";"Cellulitis w mcc";F;2010/03/05;"277M"
"277X";"09";"Cellulitis age > 17 w cc";"Cellulitis age > 17 w cc";T;1998/11/22;"277"
"278N";"09";"Cellulitis w/o cc";"Cellulitis w/o cc";F;2010/03/05;"278N"
"278X";"09";"Cellulitis age > 17 w/o cc";"Cellulitis age > 17 w/o cc";T;1996/12/31;"278"
"279A";"09";"Cellulitis age 0-17, w cc";"Cellulitis age 0-17, w cc";F;1998/11/23;"279A"
"279B";"09";"Cellulitis age 0-17, w/o cc";"Cellulitis age 0-17, w/o cc";F;1998/11/23;"279B"
"279X";"09";"Cellulitis age 0-17";"Cellulitis age 0-17";T;1998/11/22;"279"
"280C";"09";"Trauma to the skin & subcut tiss w cc";"Trauma to the skin & subcut tiss w cc";F;2010/03/05;"280C"
